epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.56331,1.49595,0.53973,1,1.48421,0.000235894,0.000235894,0.000235894
2,11.1053,1.08938,0.70137,1,1.29557,0.000442617,0.000442617,0.000442617
3,15.3265,0.83525,0.74521,1,1.22461,0.000617924,0.000617924,0.000617924
4,19.6531,0.70608,0.7863,1,1.19328,0.000572628,0.000572628,0.000572628
5,23.9187,0.60062,0.78082,1,1.16325,0.000525504,0.000525504,0.000525504
6,56.2329,0.54109,0.78082,1,1.1665,0.00047838,0.00047838,0.00047838
7,60.3823,0.48254,0.81644,1,1.13151,0.000431256,0.000431256,0.000431256
8,64.6265,0.42595,0.7863,1,1.13623,0.000384132,0.000384132,0.000384132
9,68.84,0.40011,0.8137,1,1.12581,0.000337008,0.000337008,0.000337008
10,73.0249,0.37248,0.79726,1,1.12541,0.000289884,0.000289884,0.000289884
11,77.2894,0.36485,0.8137,1,1.12402,0.00024276,0.00024276,0.00024276
12,81.4733,0.3084,0.81096,1,1.11377,0.000195636,0.000195636,0.000195636
13,85.842,0.29288,0.8137,1,1.10543,0.000148512,0.000148512,0.000148512
14,90.1089,0.28025,0.82192,1,1.10099,0.000101388,0.000101388,0.000101388
15,94.3111,0.26833,0.83014,1,1.09827,5.4264e-05,5.4264e-05,5.4264e-05
