epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.66407,1.49595,0.53973,1,1.48421,0.000235894,0.000235894,0.000235894
2,10.186,1.08487,0.71233,1,1.29191,0.000464511,0.000464511,0.000464511
3,15.0079,0.83276,0.75342,1,1.2203,0.000683703,0.000683703,0.000683703
4,19.7667,0.70754,0.77534,1,1.19132,0.000671588,0.000671588,0.000671588
5,24.7473,0.60432,0.7726,1,1.16553,0.000657451,0.000657451,0.000657451
6,29.7606,0.52026,0.80822,1,1.14941,0.000643314,0.000643314,0.000643314
7,34.6845,0.47465,0.8,1,1.14046,0.000629177,0.000629177,0.000629177
8,39.6518,0.45342,0.8,1,1.13322,0.00061504,0.00061504,0.00061504
9,45.0321,0.4324,0.82466,1,1.12329,0.000600902,0.000600902,0.000600902
10,49.9506,0.36248,0.82192,1,1.11011,0.000586765,0.000586765,0.000586765
11,54.282,0.33398,0.8411,1,1.10994,0.000572628,0.000572628,0.000572628
12,59.0156,0.32558,0.80274,1,1.11759,0.000558491,0.000558491,0.000558491
13,63.2127,0.29093,0.80822,1,1.11784,0.000544354,0.000544354,0.000544354
14,68.4948,0.26873,0.80548,1,1.09757,0.000530216,0.000530216,0.000530216
15,73.598,0.24498,0.81644,1,1.09676,0.000516079,0.000516079,0.000516079
16,78.03,0.24558,0.8137,1,1.09607,0.000501942,0.000501942,0.000501942
17,82.2731,0.2492,0.79452,1,1.10767,0.000487805,0.000487805,0.000487805
18,86.7436,0.219,0.82466,1,1.09363,0.000473668,0.000473668,0.000473668
19,91.1836,0.21816,0.82192,1,1.09505,0.00045953,0.00045953,0.00045953
20,95.5261,0.18902,0.81644,1,1.0979,0.000445393,0.000445393,0.000445393
21,100.154,0.16727,0.83562,1,1.07788,0.000431256,0.000431256,0.000431256
22,104.81,0.16934,0.80822,1,1.08887,0.000417119,0.000417119,0.000417119
23,109.296,0.17163,0.82192,1,1.08268,0.000402982,0.000402982,0.000402982
24,113.786,0.16225,0.84658,1,1.07711,0.000388844,0.000388844,0.000388844
25,118.449,0.16596,0.83836,1,1.06653,0.000374707,0.000374707,0.000374707
26,122.99,0.13055,0.85479,1,1.05896,0.00036057,0.00036057,0.00036057
27,127.747,0.15103,0.8274,1,1.07735,0.000346433,0.000346433,0.000346433
28,132.491,0.16066,0.83836,1,1.08459,0.000332296,0.000332296,0.000332296
29,136.687,0.14555,0.82466,1,1.08325,0.000318158,0.000318158,0.000318158
30,141.348,0.13715,0.83014,1,1.08228,0.000304021,0.000304021,0.000304021
31,145.775,0.11441,0.83288,1,1.07703,0.000289884,0.000289884,0.000289884
32,150.181,0.1422,0.83836,1,1.07259,0.000275747,0.000275747,0.000275747
33,154.507,0.11863,0.83836,1,1.08854,0.00026161,0.00026161,0.00026161
34,158.866,0.13229,0.8274,1,1.07821,0.000247472,0.000247472,0.000247472
35,163.412,0.14812,0.83562,1,1.07756,0.000233335,0.000233335,0.000233335
36,168.228,0.11821,0.83562,1,1.06632,0.000219198,0.000219198,0.000219198
37,172.723,0.10511,0.8411,1,1.07316,0.000205061,0.000205061,0.000205061
38,177.555,0.10582,0.84384,1,1.06144,0.000190924,0.000190924,0.000190924
39,182.266,0.10467,0.83562,1,1.06604,0.000176786,0.000176786,0.000176786
40,186.618,0.10845,0.83288,1,1.0824,0.000162649,0.000162649,0.000162649
41,221.518,0.09932,0.83836,1,1.07125,0.000148512,0.000148512,0.000148512
42,225.667,0.09463,0.83014,1,1.07544,0.000134375,0.000134375,0.000134375
43,230.116,0.11414,0.84658,1,1.07186,0.000120238,0.000120238,0.000120238
44,234.616,0.09572,0.85205,1,1.07186,0.0001061,0.0001061,0.0001061
45,238.838,0.08966,0.84384,1,1.06392,9.19632e-05,9.19632e-05,9.19632e-05
46,243.504,0.09372,0.84932,1,1.06779,7.7826e-05,7.7826e-05,7.7826e-05
47,247.932,0.08744,0.84384,1,1.07149,6.36888e-05,6.36888e-05,6.36888e-05
48,252.155,0.079,0.84658,1,1.06779,4.95516e-05,4.95516e-05,4.95516e-05
49,256.591,0.08039,0.83836,1,1.07503,3.54144e-05,3.54144e-05,3.54144e-05
50,260.939,0.07687,0.83014,1,1.06584,2.12772e-05,2.12772e-05,2.12772e-05
