epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.63393,1.49595,0.53973,1,1.48421,0.000235894,0.000235894,0.000235894
2,90.4908,1.08424,0.71233,1,1.29126,0.000467638,0.000467638,0.000467638
3,94.9229,0.83256,0.75068,1,1.21989,0.0006931,0.0006931,0.0006931
4,99.5518,0.70786,0.76986,1,1.19214,0.000685726,0.000685726,0.000685726
5,104.113,0.60277,0.79452,1,1.16235,0.000676301,0.000676301,0.000676301
6,108.709,0.52846,0.8,1,1.14884,0.000666876,0.000666876,0.000666876
7,113.254,0.48345,0.80274,1,1.1394,0.000657451,0.000657451,0.000657451
8,117.629,0.45904,0.79178,1,1.1355,0.000648026,0.000648026,0.000648026
9,121.996,0.42773,0.82466,1,1.12793,0.000638602,0.000638602,0.000638602
10,126.588,0.36054,0.8274,1,1.10872,0.000629177,0.000629177,0.000629177
11,130.967,0.33661,0.8137,1,1.11011,0.000619752,0.000619752,0.000619752
12,135.618,0.33308,0.82192,1,1.11222,0.000610327,0.000610327,0.000610327
13,139.94,0.29362,0.79726,1,1.12207,0.000600902,0.000600902,0.000600902
14,144.309,0.26255,0.80822,1,1.09839,0.000591478,0.000591478,0.000591478
15,148.852,0.24368,0.80822,1,1.09888,0.000582053,0.000582053,0.000582053
16,153.343,0.25567,0.82192,1,1.09794,0.000572628,0.000572628,0.000572628
17,157.763,0.24982,0.79178,1,1.11108,0.000563203,0.000563203,0.000563203
18,162.316,0.22733,0.83288,1,1.09017,0.000553778,0.000553778,0.000553778
19,166.778,0.22931,0.8137,1,1.09367,0.000544354,0.000544354,0.000544354
20,171.075,0.18355,0.80548,1,1.10498,0.000534929,0.000534929,0.000534929
21,175.486,0.17701,0.83288,1,1.08077,0.000525504,0.000525504,0.000525504
22,180.071,0.17878,0.81096,1,1.08577,0.000516079,0.000516079,0.000516079
