epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.00104,1.27884,0.73662,1,1.27663,0.0002363,0.0002363,0.0002363
2,12.605,0.76563,0.79872,1,1.17168,0.000470387,0.000470387,0.000470387
3,18.0981,0.63377,0.79872,1,1.1446,0.000700547,0.000700547,0.000700547
4,23.4752,0.54725,0.8137,1,1.13184,0.000696328,0.000696328,0.000696328
5,28.9103,0.51964,0.80728,1,1.11719,0.000690438,0.000690438,0.000690438
6,34.7118,0.46173,0.83298,1,1.10033,0.000684548,0.000684548,0.000684548
7,39.881,0.41129,0.82227,1,1.10508,0.000678657,0.000678657,0.000678657
8,45.145,0.37525,0.82441,1,1.0946,0.000672767,0.000672767,0.000672767
9,50.446,0.34429,0.83298,1,1.09479,0.000666876,0.000666876,0.000666876
10,55.57,0.32564,0.83298,1,1.08447,0.000660986,0.000660986,0.000660986
11,60.7158,0.31035,0.82655,1,1.08581,0.000655095,0.000655095,0.000655095
12,66.0739,0.28074,0.83298,1,1.08555,0.000649204,0.000649204,0.000649204
13,71.3742,0.27569,0.82441,1,1.09948,0.000643314,0.000643314,0.000643314
14,76.7636,0.25016,0.84368,1,1.07331,0.000637423,0.000637423,0.000637423
15,82.1191,0.2652,0.83298,1,1.09492,0.000631533,0.000631533,0.000631533
16,87.5834,0.25444,0.85011,1,1.07145,0.000625642,0.000625642,0.000625642
17,92.8045,0.20845,0.82869,1,1.08089,0.000619752,0.000619752,0.000619752
18,97.9605,0.2363,0.83726,1,1.08639,0.000613862,0.000613862,0.000613862
19,103.231,0.19554,0.84368,1,1.0667,0.000607971,0.000607971,0.000607971
20,108.256,0.20248,0.85225,1,1.06185,0.000602081,0.000602081,0.000602081
21,113.526,0.19162,0.84368,1,1.07116,0.00059619,0.00059619,0.00059619
22,118.783,0.19649,0.85225,1,1.06377,0.0005903,0.0005903,0.0005903
23,124.16,0.19221,0.85011,1,1.05768,0.000584409,0.000584409,0.000584409
24,129.356,0.18273,0.84582,1,1.06702,0.000578519,0.000578519,0.000578519
25,134.725,0.18762,0.82655,1,1.07946,0.000572628,0.000572628,0.000572628
26,139.802,0.17561,0.84368,1,1.06829,0.000566737,0.000566737,0.000566737
27,145.022,0.16003,0.83726,1,1.07025,0.000560847,0.000560847,0.000560847
28,150.383,0.13846,0.84154,1,1.06986,0.000554956,0.000554956,0.000554956
29,155.446,0.14714,0.8651,1,1.05817,0.000549066,0.000549066,0.000549066
30,160.655,0.16088,0.82441,1,1.08574,0.000543175,0.000543175,0.000543175
31,166.014,0.139,0.84582,1,1.06882,0.000537285,0.000537285,0.000537285
32,171.227,0.1423,0.83512,1,1.0762,0.000531395,0.000531395,0.000531395
33,176.497,0.14548,0.82869,1,1.08369,0.000525504,0.000525504,0.000525504
34,181.769,0.14916,0.82655,1,1.07767,0.000519613,0.000519613,0.000519613
35,187.249,0.13111,0.85011,1,1.06833,0.000513723,0.000513723,0.000513723
36,192.348,0.13803,0.83512,1,1.06423,0.000507833,0.000507833,0.000507833
37,197.581,0.1525,0.82441,1,1.07884,0.000501942,0.000501942,0.000501942
38,202.898,0.12206,0.84368,1,1.06771,0.000496052,0.000496052,0.000496052
39,208.071,0.13584,0.82441,1,1.07425,0.000490161,0.000490161,0.000490161
40,213.216,0.11618,0.82013,1,1.07585,0.000484271,0.000484271,0.000484271
41,218.527,0.12647,0.82655,1,1.07386,0.00047838,0.00047838,0.00047838
42,223.704,0.10977,0.83298,1,1.06504,0.000472489,0.000472489,0.000472489
43,228.847,0.12752,0.83084,1,1.07487,0.000466599,0.000466599,0.000466599
44,234.032,0.13371,0.83084,1,1.07503,0.000460709,0.000460709,0.000460709
45,239.303,0.13267,0.8394,1,1.06823,0.000454818,0.000454818,0.000454818
46,244.724,0.1372,0.82869,1,1.07744,0.000448928,0.000448928,0.000448928
47,249.76,0.11641,0.82227,1,1.07868,0.000443037,0.000443037,0.000443037
48,255.01,0.11917,0.83726,1,1.06702,0.000437147,0.000437147,0.000437147
49,260.442,0.09393,0.84368,1,1.06045,0.000431256,0.000431256,0.000431256
50,265.983,0.11412,0.83512,1,1.06654,0.000425365,0.000425365,0.000425365
51,271.577,0.10571,0.84368,1,1.06113,0.000419475,0.000419475,0.000419475
52,276.819,0.1021,0.84797,1,1.06178,0.000413584,0.000413584,0.000413584
53,281.962,0.09418,0.83298,1,1.06751,0.000407694,0.000407694,0.000407694
54,287.058,0.08428,0.84154,1,1.06344,0.000401804,0.000401804,0.000401804
55,292.287,0.08667,0.83726,1,1.0667,0.000395913,0.000395913,0.000395913
56,297.384,0.09058,0.8394,1,1.0735,0.000390023,0.000390023,0.000390023
57,302.816,0.09666,0.84582,1,1.06094,0.000384132,0.000384132,0.000384132
58,307.868,0.0841,0.84154,1,1.06618,0.000378242,0.000378242,0.000378242
59,313.14,0.0965,0.84154,1,1.06553,0.000372351,0.000372351,0.000372351
60,318.242,0.0779,0.84154,1,1.05801,0.00036646,0.00036646,0.00036646
61,323.412,0.09428,0.83084,1,1.0652,0.00036057,0.00036057,0.00036057
62,328.837,0.10192,0.83084,1,1.07119,0.00035468,0.00035468,0.00035468
63,334.391,0.09843,0.84797,1,1.06113,0.000348789,0.000348789,0.000348789
64,339.799,0.08209,0.82013,1,1.0765,0.000342899,0.000342899,0.000342899
65,345.05,0.07381,0.83084,1,1.07057,0.000337008,0.000337008,0.000337008
66,350.545,0.06992,0.82227,1,1.07513,0.000331118,0.000331118,0.000331118
67,355.888,0.06327,0.8394,1,1.07087,0.000325227,0.000325227,0.000325227
68,361.038,0.07725,0.82655,1,1.07035,0.000319336,0.000319336,0.000319336
69,366.423,0.08122,0.83726,1,1.06631,0.000313446,0.000313446,0.000313446
70,371.545,0.078,0.83084,1,1.06621,0.000307555,0.000307555,0.000307555
71,376.887,0.08891,0.82227,1,1.07799,0.000301665,0.000301665,0.000301665
72,381.951,0.07399,0.81585,1,1.07087,0.000295775,0.000295775,0.000295775
73,387.597,0.09772,0.82441,1,1.07949,0.000289884,0.000289884,0.000289884
74,392.69,0.07577,0.83298,1,1.0722,0.000283994,0.000283994,0.000283994
75,397.886,0.10922,0.84154,1,1.06693,0.000278103,0.000278103,0.000278103
76,403.086,0.07543,0.83084,1,1.07464,0.000272212,0.000272212,0.000272212
77,408.134,0.06939,0.83298,1,1.06797,0.000266322,0.000266322,0.000266322
78,413.268,0.07004,0.83298,1,1.07702,0.000260431,0.000260431,0.000260431
79,418.518,0.07128,0.83726,1,1.07275,0.000254541,0.000254541,0.000254541
80,423.864,0.06724,0.83512,1,1.07288,0.000248651,0.000248651,0.000248651
81,429.171,0.06274,0.83726,1,1.06973,0.00024276,0.00024276,0.00024276
82,434.422,0.05857,0.83298,1,1.07041,0.000236869,0.000236869,0.000236869
83,439.622,0.0661,0.82869,1,1.06693,0.000230979,0.000230979,0.000230979
84,444.925,0.0711,0.82869,1,1.0708,0.000225089,0.000225089,0.000225089
85,450.269,0.07609,0.84797,1,1.06247,0.000219198,0.000219198,0.000219198
86,455.476,0.06291,0.83726,1,1.0667,0.000213307,0.000213307,0.000213307
87,460.667,0.05897,0.82655,1,1.07871,0.000207417,0.000207417,0.000207417
88,466.113,0.06795,0.82655,1,1.07126,0.000201527,0.000201527,0.000201527
89,471.423,0.04798,0.83726,1,1.07249,0.000195636,0.000195636,0.000195636
90,476.612,0.05962,0.83726,1,1.0735,0.000189745,0.000189745,0.000189745
91,482.024,0.05906,0.83512,1,1.0666,0.000183855,0.000183855,0.000183855
92,487.3,0.0649,0.83298,1,1.07008,0.000177965,0.000177965,0.000177965
93,492.517,0.05897,0.82869,1,1.07464,0.000172074,0.000172074,0.000172074
94,497.715,0.05122,0.82441,1,1.0707,0.000166183,0.000166183,0.000166183
95,502.833,0.04527,0.83726,1,1.0639,0.000160293,0.000160293,0.000160293
96,508.193,0.05963,0.8394,1,1.06898,0.000154403,0.000154403,0.000154403
97,513.616,0.04892,0.83512,1,1.06943,0.000148512,0.000148512,0.000148512
98,519.26,0.05235,0.83512,1,1.06641,0.000142621,0.000142621,0.000142621
99,524.647,0.06684,0.8394,1,1.06514,0.000136731,0.000136731,0.000136731
100,529.846,0.05958,0.84797,1,1.06107,0.000130841,0.000130841,0.000130841
101,535.021,0.05308,0.83512,1,1.06257,0.00012495,0.00012495,0.00012495
102,540.419,0.05269,0.8394,1,1.06292,0.00011906,0.00011906,0.00011906
103,545.733,0.04947,0.83512,1,1.07061,0.000113169,0.000113169,0.000113169
104,551.054,0.05331,0.84154,1,1.06982,0.000107279,0.000107279,0.000107279
105,556.23,0.04844,0.8394,1,1.06771,0.000101388,0.000101388,0.000101388
106,561.71,0.05409,0.83512,1,1.06745,9.54975e-05,9.54975e-05,9.54975e-05
107,567.019,0.04801,0.85225,1,1.06611,8.9607e-05,8.9607e-05,8.9607e-05
108,572.195,0.04435,0.83726,1,1.06299,8.37165e-05,8.37165e-05,8.37165e-05
109,577.585,0.05046,0.8394,1,1.06592,7.7826e-05,7.7826e-05,7.7826e-05
110,582.984,0.04963,0.84154,1,1.06611,7.19355e-05,7.19355e-05,7.19355e-05
111,616.976,0.04971,0.84154,1,1.06257,6.6045e-05,6.6045e-05,6.6045e-05
112,622.266,0.0468,0.83726,1,1.06325,6.01545e-05,6.01545e-05,6.01545e-05
113,627.724,0.07761,0.83512,1,1.06605,5.4264e-05,5.4264e-05,5.4264e-05
114,633.279,0.04345,0.83726,1,1.06169,4.83735e-05,4.83735e-05,4.83735e-05
115,639.027,0.04975,0.83084,1,1.06429,4.2483e-05,4.2483e-05,4.2483e-05
116,644.648,0.04974,0.82869,1,1.07038,3.65925e-05,3.65925e-05,3.65925e-05
117,650.42,0.05003,0.83298,1,1.06829,3.0702e-05,3.0702e-05,3.0702e-05
118,655.913,0.04101,0.8394,1,1.06735,2.48115e-05,2.48115e-05,2.48115e-05
119,661.439,0.04959,0.8394,1,1.06562,1.8921e-05,1.8921e-05,1.8921e-05
120,666.595,0.04416,0.84368,1,1.06357,1.30305e-05,1.30305e-05,1.30305e-05
