epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.70866,1.27884,0.74587,1,1.26605,0.0002363,0.0002363,0.0002363
2,12.4839,0.76566,0.80785,1,1.1734,0.000469604,0.000469604,0.000469604
3,18.0767,0.63375,0.79752,1,1.14795,0.000698196,0.000698196,0.000698196
4,23.4596,0.54733,0.81198,1,1.1297,0.000692794,0.000692794,0.000692794
5,29.0774,0.51932,0.80785,1,1.11499,0.000685726,0.000685726,0.000685726
6,35.0647,0.46185,0.80992,1,1.11444,0.000678657,0.000678657,0.000678657
7,40.4133,0.40624,0.81818,1,1.10538,0.000671588,0.000671588,0.000671588
8,46.3407,0.37444,0.81198,1,1.10077,0.00066452,0.00066452,0.00066452
9,52.2416,0.34944,0.81198,1,1.11703,0.000657451,0.000657451,0.000657451
10,57.9693,0.32369,0.82438,1,1.10266,0.000650383,0.000650383,0.000650383
11,63.4378,0.30624,0.82025,1,1.09088,0.000643314,0.000643314,0.000643314
12,69.1442,0.27427,0.80579,1,1.10907,0.000636245,0.000636245,0.000636245
13,74.7376,0.27346,0.80579,1,1.1134,0.000629177,0.000629177,0.000629177
14,80.3384,0.25132,0.81818,1,1.08365,0.000622108,0.000622108,0.000622108
15,86.0689,0.26609,0.81198,1,1.09921,0.00061504,0.00061504,0.00061504
16,91.9748,0.25455,0.79752,1,1.11682,0.000607971,0.000607971,0.000607971
17,97.4765,0.20231,0.81818,1,1.09586,0.000600902,0.000600902,0.000600902
18,102.942,0.22844,0.80579,1,1.11203,0.000593834,0.000593834,0.000593834
19,108.544,0.20184,0.80165,1,1.09351,0.000586765,0.000586765,0.000586765
20,113.997,0.19788,0.79752,1,1.10825,0.000579697,0.000579697,0.000579697
21,119.576,0.1887,0.81198,1,1.08981,0.000572628,0.000572628,0.000572628
22,125.111,0.20176,0.81818,1,1.0874,0.000565559,0.000565559,0.000565559
23,130.754,0.18444,0.79959,1,1.0979,0.000558491,0.000558491,0.000558491
24,136.285,0.19021,0.80372,1,1.0939,0.000551422,0.000551422,0.000551422
25,141.945,0.18051,0.78719,1,1.1319,0.000544354,0.000544354,0.000544354
26,147.362,0.17326,0.80992,1,1.10828,0.000537285,0.000537285,0.000537285
27,152.941,0.15709,0.78719,1,1.10992,0.000530216,0.000530216,0.000530216
28,158.694,0.1411,0.79959,1,1.11594,0.000523148,0.000523148,0.000523148
29,164.099,0.14661,0.78306,1,1.14539,0.000516079,0.000516079,0.000516079
30,169.652,0.15672,0.79339,1,1.10101,0.000509011,0.000509011,0.000509011
31,175.353,0.1415,0.80992,1,1.09653,0.000501942,0.000501942,0.000501942
32,180.962,0.13842,0.78926,1,1.10876,0.000494873,0.000494873,0.000494873
33,186.456,0.13394,0.78512,1,1.10895,0.000487805,0.000487805,0.000487805
34,192.027,0.14365,0.80992,1,1.09924,0.000480736,0.000480736,0.000480736
35,197.775,0.13548,0.79339,1,1.12415,0.000473668,0.000473668,0.000473668
36,203.184,0.13587,0.79339,1,1.10419,0.000466599,0.000466599,0.000466599
37,208.881,0.14901,0.78719,1,1.11435,0.00045953,0.00045953,0.00045953
38,214.886,0.12744,0.78719,1,1.09537,0.000452462,0.000452462,0.000452462
39,220.532,0.12364,0.80785,1,1.10544,0.000445393,0.000445393,0.000445393
40,226.177,0.11881,0.78512,1,1.11102,0.000438325,0.000438325,0.000438325
41,231.741,0.11998,0.78306,1,1.10834,0.000431256,0.000431256,0.000431256
42,237.33,0.11059,0.79132,1,1.15045,0.000424187,0.000424187,0.000424187
43,242.915,0.12334,0.79339,1,1.09067,0.000417119,0.000417119,0.000417119
44,248.476,0.12913,0.78926,1,1.12457,0.00041005,0.00041005,0.00041005
45,254.067,0.1141,0.81198,1,1.10962,0.000402982,0.000402982,0.000402982
46,259.871,0.12975,0.79339,1,1.11841,0.000395913,0.000395913,0.000395913
47,265.256,0.11649,0.78512,1,1.11206,0.000388844,0.000388844,0.000388844
48,270.981,0.11302,0.78926,1,1.11176,0.000381776,0.000381776,0.000381776
49,276.798,0.08564,0.80579,1,1.11749,0.000374707,0.000374707,0.000374707
50,282.753,0.10984,0.79545,1,1.09393,0.000367639,0.000367639,0.000367639
51,288.624,0.09813,0.80372,1,1.10587,0.00036057,0.00036057,0.00036057
52,294.191,0.09626,0.79132,1,1.11652,0.000353501,0.000353501,0.000353501
53,299.777,0.09298,0.78512,1,1.09979,0.000346433,0.000346433,0.000346433
54,305.255,0.0818,0.79959,1,1.11316,0.000339364,0.000339364,0.000339364
55,310.884,0.08884,0.80785,1,1.0903,0.000332296,0.000332296,0.000332296
56,316.291,0.09287,0.80372,1,1.09534,0.000325227,0.000325227,0.000325227
57,322.179,0.09839,0.80992,1,1.09583,0.000318158,0.000318158,0.000318158
58,327.605,0.08441,0.80372,1,1.0882,0.00031109,0.00031109,0.00031109
59,333.23,0.09548,0.81198,1,1.09143,0.000304021,0.000304021,0.000304021
