epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.74246,1.49595,0.53973,1,1.48421,0.000235894,0.000235894,0.000235894
2,10.5775,1.08424,0.71233,1,1.29126,0.000467638,0.000467638,0.000467638
3,15.1448,0.83256,0.75068,1,1.21989,0.0006931,0.0006931,0.0006931
4,19.8819,0.70786,0.76986,1,1.19214,0.000685726,0.000685726,0.000685726
5,24.8023,0.60277,0.79452,1,1.16235,0.000676301,0.000676301,0.000676301
6,29.6539,0.52846,0.8,1,1.14884,0.000666876,0.000666876,0.000666876
7,34.2027,0.48345,0.80274,1,1.1394,0.000657451,0.000657451,0.000657451
8,38.9357,0.45904,0.79178,1,1.1355,0.000648026,0.000648026,0.000648026
9,43.2579,0.42773,0.82466,1,1.12793,0.000638602,0.000638602,0.000638602
10,47.8516,0.36054,0.8274,1,1.10872,0.000629177,0.000629177,0.000629177
11,52.3033,0.33661,0.8137,1,1.11011,0.000619752,0.000619752,0.000619752
12,57.0215,0.33308,0.82192,1,1.11222,0.000610327,0.000610327,0.000610327
13,61.3822,0.29362,0.79726,1,1.12207,0.000600902,0.000600902,0.000600902
14,65.9076,0.26255,0.80822,1,1.09839,0.000591478,0.000591478,0.000591478
15,70.5409,0.24368,0.80822,1,1.09888,0.000582053,0.000582053,0.000582053
16,75.1831,0.25567,0.82192,1,1.09794,0.000572628,0.000572628,0.000572628
17,80.2055,0.24982,0.79178,1,1.11108,0.000563203,0.000563203,0.000563203
18,85.0391,0.22733,0.83288,1,1.09017,0.000553778,0.000553778,0.000553778
19,89.7775,0.22931,0.8137,1,1.09367,0.000544354,0.000544354,0.000544354
20,94.794,0.18355,0.80548,1,1.10498,0.000534929,0.000534929,0.000534929
21,99.4998,0.17701,0.83288,1,1.08077,0.000525504,0.000525504,0.000525504
22,105.155,0.17878,0.81096,1,1.08577,0.000516079,0.000516079,0.000516079
23,110.487,0.17105,0.82192,1,1.08927,0.000506654,0.000506654,0.000506654
24,115.358,0.1681,0.83836,1,1.07865,0.00049723,0.00049723,0.00049723
25,120.436,0.1775,0.84384,1,1.06873,0.000487805,0.000487805,0.000487805
26,125.235,0.13869,0.81644,1,1.06807,0.00047838,0.00047838,0.00047838
27,130.503,0.16441,0.83014,1,1.07869,0.000468955,0.000468955,0.000468955
28,135.578,0.17443,0.82466,1,1.08626,0.00045953,0.00045953,0.00045953
29,140.15,0.16092,0.8137,1,1.09379,0.000450106,0.000450106,0.000450106
30,145.169,0.15319,0.82466,1,1.08545,0.000440681,0.000440681,0.000440681
31,149.876,0.12242,0.81644,1,1.08142,0.000431256,0.000431256,0.000431256
32,154.611,0.14677,0.82192,1,1.08228,0.000421831,0.000421831,0.000421831
33,159.284,0.13052,0.8274,1,1.0909,0.000412406,0.000412406,0.000412406
34,164.208,0.13478,0.81918,1,1.08398,0.000402982,0.000402982,0.000402982
35,169.127,0.14494,0.8274,1,1.08594,0.000393557,0.000393557,0.000393557
36,174.046,0.12383,0.8274,1,1.06807,0.000384132,0.000384132,0.000384132
37,178.603,0.12053,0.8137,1,1.08887,0.000374707,0.000374707,0.000374707
38,183.421,0.11819,0.8274,1,1.07202,0.000365282,0.000365282,0.000365282
39,188.501,0.11265,0.82466,1,1.08069,0.000355858,0.000355858,0.000355858
40,193.288,0.12741,0.82466,1,1.09078,0.000346433,0.000346433,0.000346433
41,198.507,0.10235,0.82466,1,1.08236,0.000337008,0.000337008,0.000337008
42,203.39,0.09842,0.83288,1,1.0741,0.000327583,0.000327583,0.000327583
43,207.906,0.09134,0.83562,1,1.08545,0.000318158,0.000318158,0.000318158
44,212.421,0.08455,0.8274,1,1.0835,0.000308734,0.000308734,0.000308734
45,217.067,0.09549,0.82192,1,1.07817,0.000299309,0.000299309,0.000299309
46,221.689,0.08342,0.81096,1,1.08944,0.000289884,0.000289884,0.000289884
47,226.325,0.09506,0.82192,1,1.08398,0.000280459,0.000280459,0.000280459
48,231.034,0.0818,0.83014,1,1.07776,0.000271034,0.000271034,0.000271034
49,235.778,0.08516,0.82192,1,1.08651,0.00026161,0.00026161,0.00026161
50,240.392,0.09085,0.83014,1,1.06791,0.000252185,0.000252185,0.000252185
51,245.089,0.06142,0.82466,1,1.07939,0.00024276,0.00024276,0.00024276
52,249.789,0.08641,0.82192,1,1.07031,0.000233335,0.000233335,0.000233335
53,254.417,0.08299,0.82466,1,1.07638,0.00022391,0.00022391,0.00022391
54,259.048,0.06291,0.82466,1,1.08394,0.000214486,0.000214486,0.000214486
55,264.105,0.07126,0.83836,1,1.07536,0.000205061,0.000205061,0.000205061
56,268.786,0.06016,0.82192,1,1.06742,0.000195636,0.000195636,0.000195636
57,273.363,0.06764,0.8274,1,1.06702,0.000186211,0.000186211,0.000186211
58,278.226,0.07627,0.83288,1,1.07182,0.000176786,0.000176786,0.000176786
59,283.054,0.0703,0.82192,1,1.07882,0.000167362,0.000167362,0.000167362
60,287.764,0.08588,0.83562,1,1.07361,0.000157937,0.000157937,0.000157937
61,292.778,0.0678,0.83288,1,1.07031,0.000148512,0.000148512,0.000148512
62,297.529,0.07212,0.83288,1,1.07495,0.000139087,0.000139087,0.000139087
63,302.943,0.0666,0.82192,1,1.09562,0.000129662,0.000129662,0.000129662
64,308.558,0.06704,0.83014,1,1.07402,0.000120238,0.000120238,0.000120238
65,313.106,0.0675,0.83562,1,1.07284,0.000110813,0.000110813,0.000110813
66,348.527,0.05887,0.83014,1,1.07284,0.000101388,0.000101388,0.000101388
67,353.188,0.05668,0.8274,1,1.07532,9.19632e-05,9.19632e-05,9.19632e-05
68,357.667,0.07239,0.83562,1,1.073,8.25384e-05,8.25384e-05,8.25384e-05
69,362.402,0.04489,0.82192,1,1.08317,7.31136e-05,7.31136e-05,7.31136e-05
70,366.928,0.06739,0.8274,1,1.07768,6.36888e-05,6.36888e-05,6.36888e-05
71,371.596,0.05565,0.8274,1,1.0719,5.4264e-05,5.4264e-05,5.4264e-05
72,376.084,0.05286,0.82466,1,1.07503,4.48392e-05,4.48392e-05,4.48392e-05
73,381.101,0.06144,0.82466,1,1.08032,3.54144e-05,3.54144e-05,3.54144e-05
74,386.057,0.06454,0.83014,1,1.07231,2.59896e-05,2.59896e-05,2.59896e-05
75,390.598,0.05915,0.82466,1,1.07788,1.65648e-05,1.65648e-05,1.65648e-05
