epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.28723,1.49595,0.53973,1,1.48421,0.000235894,0.000235894,0.000235894
2,9.77745,1.08678,0.70959,1,1.29346,0.000455128,0.000455128,0.000455128
3,14.1341,0.83363,0.75342,1,1.22152,0.000655512,0.000655512,0.000655512
4,18.5132,0.70683,0.78356,1,1.19214,0.000629177,0.000629177,0.000629177
5,22.8807,0.60178,0.78356,1,1.16406,0.000600902,0.000600902,0.000600902
6,27.3665,0.51369,0.81096,1,1.14705,0.000572628,0.000572628,0.000572628
7,31.7576,0.47048,0.78356,1,1.14258,0.000544354,0.000544354,0.000544354
8,36.037,0.44678,0.80274,1,1.13232,0.000516079,0.000516079,0.000516079
9,40.1874,0.41458,0.83288,1,1.11654,0.000487805,0.000487805,0.000487805
10,44.5832,0.35364,0.83014,1,1.10588,0.00045953,0.00045953,0.00045953
11,48.7156,0.32101,0.83562,1,1.1001,0.000431256,0.000431256,0.000431256
12,53.3001,0.32257,0.83288,1,1.10124,0.000402982,0.000402982,0.000402982
13,57.5511,0.27692,0.8274,1,1.10474,0.000374707,0.000374707,0.000374707
14,61.8886,0.24811,0.83836,1,1.08895,0.000346433,0.000346433,0.000346433
15,66.34,0.22857,0.83562,1,1.08761,0.000318158,0.000318158,0.000318158
16,99.3095,0.21655,0.83288,1,1.09408,0.000289884,0.000289884,0.000289884
17,103.484,0.19808,0.83014,1,1.08976,0.00026161,0.00026161,0.00026161
18,107.729,0.1945,0.81644,1,1.09184,0.000233335,0.000233335,0.000233335
19,112.206,0.20695,0.82466,1,1.08293,0.000205061,0.000205061,0.000205061
20,116.692,0.18145,0.83014,1,1.08927,0.000176786,0.000176786,0.000176786
21,121.015,0.18296,0.83836,1,1.08093,0.000148512,0.000148512,0.000148512
22,125.373,0.17627,0.8411,1,1.07764,0.000120238,0.000120238,0.000120238
23,129.653,0.16563,0.84384,1,1.07788,9.19632e-05,9.19632e-05,9.19632e-05
24,133.878,0.15814,0.83562,1,1.08545,6.36888e-05,6.36888e-05,6.36888e-05
25,138.347,0.17294,0.83562,1,1.07349,3.54144e-05,3.54144e-05,3.54144e-05
